SKU;Produto;Marca;Tipo_do_Produto;Preco_Unitario;Custo_Unitario;Observacao
HL1;M510 Mouse sem fio - Vermelho;Logitech;Mouse;25.95;6.50;
HL2;Mouse sem fio M170 - Preto;Logitech;Mouse;19.95;5.00;
HL3;Camisa Hashtag Eletro Masculina, P - Branco;Hashtag;Camisa;25.00;11.00;
HL4;Camisa Hashtag Eletro Masculina, M - Branco;Hashtag;Camisa;25.00;11.00;Conferir estoque
HL5;Mouse sem fio D09 - Azul;Multilaser;Mouse;11.99;3.40;
HL6;Camisa Hashtag Eletro Masculina, G - Branco;Hashtag;Camisa;25.00;11.00;
HL7;Camisa Hashtag Eletro Masculina, GG - Branco;Hashtag;Camisa;25.00;11.00;
HL8;Camisa Hashtag Eletro Masculina, P - Preto;Hashtag;Camisa;27.50;12.40;Troca de fornecedor
HL9;Camisa Hashtag Eletro Masculina, M - Preto;Hashtag;Camisa;27.50;12.40;
HL10;Camisa Hashtag Eletro Masculina, G - Preto;Hashtag;Camisa;27.50;12.40;
HL11;Smart TV LG 65'' 4K UHD - Preto;LG;Televisao;820.00;172.20;
HL12;Smart TV Led 32'' HD LG - Preto;LG;Televisao;250.00;62.50;
HL13;Smart TV 43'' LG - Preto;LG;Televisao;378.00;83.20;
HL14;Smart TV 50'' LG 4K - Preto;LG;Televisao;520.00;145.60;
HL15;Smart TV 65'' QLED 4K Samsung - Preto;Samsung;Televisao;1260.00;378.00;
HL16;Smart TV Led 43'' - Preto;Samsung;Televisao;340.00;71.40;
HL17;Samsung TV Smart 65'' - Preto;Samsung;Televisao;740.00;214.60;
HL18;Smart TV QLED 85'' 8K - Preto;Samsung;Televisao;10000.00;3000.00;
HL19;Smart TV 60'' Samsung - Preto;Samsung;Televisao;720.00;201.60;
HL20;Samsung Smart TV QLED 4k The Sero Tela Vertical - Preto;Samsung;Televisao;2000.00;440.00;
HL21;Smart TV LED 32'' HD AOC - Preto;AOC;Televisao;250.00;62.50;
HL22;Smart TV LED 43'' Ful HD AOC - Preto;AOC;Televisao;360.00;97.20;
HL23;Smart TV Toshiba UDF 4K 55'' - Preto;Toshiba;Televisao;640.00;185.60;
HL24;Tela Toshiba QLED 65'' Quantum dot 4K - Preto;Toshiba;Televisao;800.00;192.00;
HL25;Tela Toshiba QLED 55'' Quantum dot 4K - Preto;Toshiba;Televisao;600.00;144.00;
HL26;Smart TV LED 50'' Ful HD Semp - Preto;SEMP;Televisao;500.00;125.00;
HL27;Smart TV LED 43'' Ful HD Semp - Preto;SEMP;Televisao;380.00;91.20;
HL28;Smart TV LED 50'' Ful HD Semp - Preto;SEMP;Televisao;500.00;140.00;
HL29;Smart Google TV 50'' LED Philco Sem Borda - Preto;Philco;Televisao;400.00;120.00;
HL30;TV LED 39'' Philco - Preto;Philco;Televisao;279.80;56.00;
HL31;TCL Smart TV Roku 32'' Serie 3 - Preto;TCL;Televisao;158.00;36.30;
HL32;TCL 40'' Classe 3 - Series HD LED - Preto;TCL;Televisao;220.00;59.40;
HL33;Garmin Smartwatch Forerunner 245 - Prata;Garmin;Relogio;440.00;96.80;
HL34;Garmin Smartwatch Forerunner 945 - Prata;Garmin;Relogio;720.00;187.20;
HL35;Xiaomi Mibro Air - Prata;Xiaomi;Relogio;46.40;11.60;
HL36;Xiaomi Maimo - Prata;Xiaomi;Relogio;74.00;15.50;
HL37;Smartwatch B57 - Preto;Xiaomi;Relogio;36.00;7.90;
HL38;Smartwatch Xiaomi Amazfit Verge Lite - Preto;Xiaomi;Relogio;114.00;23.90;
HL39;Samsung Galaxy Watch3 41m - Preto;Samsung;Relogio;280.00;72.80;
HL40;Samsung Galaxy Watch3 46mm - Preto;Samsung;Relogio;290.00;72.50;
HL41;Samsung SM-R89 - Preto;Samsung;Relogio;380.00;110.20;
HL42;Samsung Galaxy Watch4 Classic BT 46mm - Prata;Samsung;Relogio;320.00;83.20;
HL43;iPhone 13 Pro Max 128GB - Preto;Apple;Celular;1099.00;329.70;
HL44;iPhone 13 Pro Max 256GB - Branco;Apple;Celular;1199.00;287.80;
HL45;iPhone 13 Pro Max 512GB - Vermelho;Apple;Celular;1399.00;377.70;
HL46;iPhone 13 Pro Max 1TB - Vermelho;Apple;Celular;1599.00;367.80;
HL47;iPhone 13 Pro 128GB - Vermelho;Apple;Celular;999.00;269.70;
HL48;iPhone 13 Pro 256GB - Vermelho;Apple;Celular;1099.00;329.70;
HL49;iPhone 13 Pro 512GB - Vermelho;Apple;Celular;1299.00;298.80;
HL50;iPhone 13 Pro 1TB - Vermelho;Apple;Celular;1499.00;329.80;
HL51;iPhone 13 128GB - Vermelho;Apple;Celular;799.00;215.70;
HL52;iPhone 13 256GB - Vermelho;Apple;Celular;899.00;197.80;
HL53;iPhone 13 512GB - Vermelho;Apple;Celular;1099.00;329.70;
HL54;iPhone 13 Mini 128GB - Vermelho;Apple;Celular;699.00;167.80;
HL55;iPhone 13 Mini 256GB - Vermelho;Apple;Celular;799.00;215.70;
HL56;iPhone 13 Mini 512GB - Vermelho;Apple;Celular;999.00;269.70;
HL57;iPhone SE 64GB - Vermelho;Apple;Celular;429.00;115.80;
HL58;iPhone SE 128GB - Vermelho;Apple;Celular;479.00;138.90;
HL59;iPhone SE 256GB - Preto;Apple;Celular;579.00;115.80;
HL60;iPhone 12 Pro Max 128GB - Preto;Apple;Celular;949.00;256.20;
HL61;iPhone 12 Pro Max 256GB - Preto;Apple;Celular;1049.00;304.20;
HL62;iPhone 12 Pro Max 512GB - Preto;Apple;Celular;1249.00;362.20;
HL63;iPhone 12 Pro Max 1TB - Preto;Apple;Celular;1449.00;347.80;
HL64;iPhone 12 Pro 128GB - Preto;Apple;Celular;849.00;178.30;
HL65;iPhone 12 Pro 256GB - Prata;Apple;Celular;949.00;256.20;
HL66;iPhone 12 Pro 512GB - Prata;Apple;Celular;1149.00;252.80;
HL67;iPhone 12 Pro 1TB - Prata;Apple;Celular;1349.00;296.80;
HL68;iPhone 12 128GB - Prata;Apple;Celular;649.00;181.70;
HL69;iPhone 12 256GB - Preto;Apple;Celular;749.00;157.30;
